all,reacted
493069361750212609,505548561975476224
531054032589160458,515494772132151306
799244081422139402,544969672760492034
571779474249482256,711883814233833473
816014304000081930,745935844032118795
584479137167573032,771131473884741652
555152679190659104,809495707711045692
711967115804147766,555152679190659104
429925141863202818,711883814233833473
709067706481246338,745935844032118795
777329853128376360,821428675152445440
562310518187229225,415622145641807883
505548561975476224,745935844032118795
791358485757034537,754847351109320755
447805096848523274,453664284468314122
589941135506538507,562310518187229225
526135878595248129,387653896765571073
821428675152445440,453664284468314122
809495707711045692,1
793279210445471794,1
544969672760492034,1
771131473884741652,1
636635332330389527,1
759128486274662410,1
754847351109320755,1
387653896765571073,1
415622145641807883,1
745935844032118795,1
366293989827018762,1
763811193483296768,1
762009780180353045,1
453664284468314122,1
581581279548407826,1
711883814233833473,1
515494772132151306,1
775778823509639195,1
492769157826347008,1
690889952539705354,1
