All Mentors,Reacted,,,,,
493069361750212609,505548561975476224,,,,,
531054032589160458,515494772132151306,,,,,
799244081422139402,544969672760492034,,,,,
571779474249482256,711883814233833473,,,,,
816014304000081930,745935844032118795,,,,,
584479137167573032,771131473884741652,,,,,
555152679190659104,809495707711045692,,,,,
711967115804147766,555152679190659104,,,,,
429925141863202818,711883814233833473,,,,,
709067706481246338,745935844032118795,,,,,
777329853128376360,821428675152445440,,,,,
562310518187229225,415622145641807883,,,,,
505548561975476224,745935844032118795,,,,,
791358485757034537,754847351109320755,,,,,
447805096848523274,453664284468314122,,,,,
589941135506538507,562310518187229225,,,,,
526135878595248129,387653896765571073,,,,,
821428675152445440,453664284468314122,,,,,
809495707711045692,,,,,,
793279210445471794,,,,,,
544969672760492034,,,,,,
771131473884741652,,,,,,
636635332330389527,,,,,,
759128486274662410,,,,,,
754847351109320755,,,,,,
387653896765571073,,,,,,
415622145641807883,,,,,,
745935844032118795,,,,,,
366293989827018762,,,,,,
763811193483296768,,,,,,
762009780180353045,,,,,,
453664284468314122,,,,,,
581581279548407826,,,,,,
711883814233833473,,,,,,
515494772132151306,,,,,,
775778823509639195,,,,,,
492769157826347008,,,,,,
690889952539705354,,,,,,
